bb_period,bb_std,rsi_period,rsi_oversold,rsi_overbought,total_trades,win_rate,avg_win,avg_loss,risk_reward,profit_factor,max_drawdown,total_return,final_capital
20,1.5,7,20,60,42,83.33,7.29,6.86,1.06,5.31,-16.17,582.31,34115.52
20,2.0,7,20,60,30,80.0,8.4,7.02,1.2,4.79,-16.17,328.6,21430.15
10,1.5,7,20,60,42,80.95,5.76,5.39,1.07,4.55,-16.18,312.88,20643.96
10,1.5,7,20,80,42,80.95,5.76,5.39,1.07,4.55,-16.18,312.88,20643.96
10,1.5,7,20,70,42,80.95,5.76,5.39,1.07,4.55,-16.18,312.88,20643.96
30,2.0,7,20,60,29,79.31,8.27,5.9,1.4,5.37,-16.65,312.7,20635.13
30,1.5,7,20,60,36,77.78,7.25,7.45,0.97,3.41,-23.86,260.7,18035.14
20,1.5,7,20,80,37,75.68,7.93,9.92,0.8,2.49,-25.7,215.11,15755.26
20,1.5,7,20,70,37,75.68,7.93,10.59,0.75,2.33,-29.2,192.76,14638.19
20,2.0,21,30,70,13,92.31,10.34,7.2,1.44,17.23,-7.2,187.8,14389.93
20,2.0,21,30,60,13,92.31,10.34,7.2,1.44,17.23,-7.2,187.8,14389.93
20,2.0,21,30,80,13,92.31,10.34,7.2,1.44,17.23,-7.2,187.8,14389.93
30,1.5,14,20,80,14,71.43,12.55,2.16,5.81,14.52,-7.53,185.98,14299.22
30,1.5,14,20,70,14,71.43,12.43,2.16,5.75,14.38,-7.53,183.6,14179.76
30,2.0,14,20,80,13,69.23,13.75,2.16,6.36,14.31,-7.53,181.0,14050.02
20,1.5,7,30,60,52,76.92,5.87,9.38,0.63,2.08,-27.86,180.46,14023.09
30,2.0,14,20,70,13,69.23,13.62,2.16,6.3,14.18,-7.53,178.65,13932.64
30,2.0,21,30,60,13,69.23,13.63,2.34,5.84,13.13,-6.23,176.37,13818.3
30,2.0,21,30,70,13,69.23,13.63,2.34,5.84,13.13,-6.23,176.37,13818.3
30,2.0,21,30,80,13,69.23,13.63,2.34,5.84,13.13,-6.23,176.37,13818.3
20,2.0,7,30,60,37,72.97,7.27,7.95,0.91,2.47,-37.01,172.95,13647.63
20,1.5,14,20,70,13,76.92,12.84,6.26,2.05,6.84,-11.94,165.81,13290.32
20,1.5,14,20,80,13,76.92,12.84,6.26,2.05,6.84,-11.94,165.81,13290.32
20,1.5,14,30,80,29,75.86,8.05,9.38,0.86,2.7,-23.32,165.08,13253.91
20,1.5,14,30,70,29,75.86,8.05,9.38,0.86,2.7,-23.32,165.08,13253.91
30,1.5,14,20,60,14,71.43,11.51,2.16,5.33,13.32,-7.53,161.51,13075.4
20,1.5,14,20,60,13,76.92,12.52,6.26,2.0,6.67,-11.94,158.34,12916.8
20,1.5,14,30,60,29,72.41,8.4,8.48,0.99,2.6,-23.32,157.63,12881.38
20,2.5,7,20,80,14,85.71,9.92,7.54,1.32,7.9,-10.55,156.99,12849.5
30,2.0,14,20,60,13,69.23,12.59,2.16,5.83,13.11,-7.53,156.95,12847.53
20,2.0,7,40,60,39,74.36,6.79,8.59,0.79,2.29,-41.35,156.52,12826.01
10,2.0,7,20,60,20,80.0,6.9,3.97,1.74,6.95,-10.07,140.98,12049.1
10,2.0,7,20,80,20,80.0,6.9,3.97,1.74,6.95,-10.07,140.98,12049.1
10,2.0,7,20,70,20,80.0,6.9,3.97,1.74,6.95,-10.07,140.98,12049.1
20,2.0,14,20,80,10,80.0,13.41,4.37,3.07,12.28,-8.72,140.46,12022.88
20,2.0,14,20,70,10,80.0,13.41,4.37,3.07,12.28,-8.72,140.46,12022.88
20,2.5,7,20,70,14,85.71,9.13,7.32,1.25,7.49,-10.11,138.78,11938.75
30,1.5,14,30,80,26,65.38,8.97,6.03,1.49,2.81,-22.76,135.65,11782.25
