rsi,entry_long,exit_long,entry_short,exit_short,long_trades,short_trades,total_trades,win_rate,avg_win,avg_loss,risk_reward,profit_factor,max_drawdown,total_return,final_capital
14,70,55,35,50,35,44,79,44.3,14.8,5.84,2.53,2.01,-30.31,511.58,30579.22
14,70,55,35,40,35,59,94,37.23,14.18,4.19,3.39,2.01,-28.08,484.19,29209.69
14,70,55,25,40,35,26,61,42.62,16.73,5.45,3.07,2.28,-33.97,481.27,29063.6
14,65,55,35,50,54,44,98,38.78,15.66,5.47,2.86,1.81,-41.91,452.77,27638.43
14,70,55,25,50,35,25,60,43.33,16.73,5.83,2.87,2.19,-34.92,431.3,26565.17
14,65,55,35,40,54,59,113,33.63,15.09,4.24,3.55,1.8,-46.03,428.01,26400.61
14,65,55,25,40,54,26,80,36.25,17.66,5.14,3.44,1.95,-48.81,425.37,26268.57
14,70,55,35,45,35,53,88,38.64,14.82,4.9,3.02,1.9,-34.22,401.19,25059.49
14,75,55,35,50,28,44,72,41.67,15.49,5.51,2.81,2.01,-33.52,397.91,24895.71
14,70,55,30,40,35,42,77,40.26,14.98,5.1,2.94,1.98,-37.45,387.76,24388.11
14,65,55,25,50,54,25,79,36.71,17.66,5.39,3.28,1.9,-45.96,380.21,24010.42
14,70,55,25,45,35,26,61,42.62,16.38,5.75,2.85,2.12,-37.74,377.88,23894.05
14,75,55,35,40,28,59,87,34.48,14.77,3.88,3.8,2.0,-27.79,375.61,23780.72
14,75,55,25,40,28,26,54,38.89,18.18,5.0,3.63,2.31,-32.02,373.24,23661.78
14,70,55,30,45,35,39,74,43.24,14.32,5.52,2.59,1.98,-37.12,367.34,23367.17
14,65,55,35,45,54,53,107,34.58,15.71,4.8,3.27,1.73,-42.29,352.99,22649.54
14,70,50,35,50,35,44,79,43.04,14.88,6.13,2.43,1.83,-40.96,350.84,22541.96
14,65,60,35,50,68,44,112,41.07,12.66,5.24,2.42,1.68,-39.77,347.21,22360.63
14,65,55,30,40,54,42,96,35.42,15.93,4.94,3.23,1.77,-49.35,340.85,22042.72
14,70,60,35,50,36,44,80,41.25,14.64,5.62,2.61,1.83,-30.23,336.71,21835.43
14,75,55,25,50,28,25,53,39.62,18.18,5.39,3.37,2.21,-34.86,332.55,21627.72
14,75,50,35,50,28,44,72,44.44,14.32,6.0,2.39,1.91,-35.31,332.06,21602.9
14,65,55,25,45,54,26,80,36.25,17.35,5.34,3.25,1.85,-51.74,331.92,21596.17
14,70,50,35,40,35,59,94,36.17,14.24,4.43,3.21,1.82,-39.31,330.65,21532.39
14,70,50,25,40,35,26,61,40.98,16.92,5.82,2.91,2.02,-41.76,328.49,21424.7
14,65,60,35,40,68,59,127,36.22,12.19,4.14,2.94,1.67,-36.35,327.18,21359.18
14,65,60,25,40,68,26,94,39.36,13.5,4.9,2.75,1.79,-39.53,325.05,21252.35
14,65,55,30,45,54,39,93,37.63,15.3,5.23,2.93,1.77,-42.79,322.4,21119.96
21,65,50,30,40,33,18,51,43.14,18.23,6.55,2.78,2.11,-52.96,319.39,20969.36
14,70,60,35,40,36,59,95,34.74,13.98,4.09,3.41,1.82,-26.44,317.15,20857.5
14,70,60,25,40,36,26,62,38.71,16.67,5.2,3.21,2.03,-30.95,315.06,20753.18
14,75,50,35,40,28,59,87,36.78,13.64,4.18,3.26,1.9,-31.97,312.71,20635.39
14,75,50,25,40,28,26,54,42.59,16.31,5.59,2.91,2.16,-31.18,310.64,20532.18
14,75,55,35,45,28,53,81,35.8,15.54,4.6,3.38,1.89,-34.24,308.04,20401.89
14,75,55,30,40,28,42,70,37.14,15.82,4.75,3.33,1.97,-30.68,297.11,19855.29
14,70,55,30,50,35,38,73,43.84,14.53,6.15,2.36,1.84,-37.88,291.84,19592.06
14,70,50,25,50,35,25,60,41.67,16.92,6.2,2.73,1.95,-41.55,291.66,19582.94
14,75,55,25,45,28,26,54,38.89,17.75,5.32,3.34,2.12,-37.19,289.06,19453.06
14,65,60,25,50,68,25,93,39.78,13.5,5.12,2.63,1.74,-39.54,288.51,19425.42
14,75,55,30,45,28,39,67,40.3,15.01,5.16,2.91,1.96,-37.06,280.48,19024.1
14,70,60,25,50,36,25,61,39.34,16.67,5.54,3.01,1.95,-34.52,279.38,18969.15
14,75,50,25,50,28,25,53,43.4,16.31,6.03,2.7,2.07,-34.21,275.34,18767.15
14,65,50,35,50,49,44,93,38.71,16.22,6.24,2.6,1.64,-49.64,274.51,18725.37
14,70,50,35,45,35,53,88,37.5,14.91,5.15,2.89,1.74,-38.69,269.46,18473.01
21,65,50,30,45,33,18,51,41.18,18.54,6.41,2.89,2.03,-55.57,267.89,18394.38
14,65,60,35,45,68,53,121,37.19,12.63,4.65,2.72,1.61,-41.81,266.49,18324.41
14,70,50,30,40,35,42,77,38.96,15.08,5.39,2.8,1.78,-45.21,259.56,17978.08
14,70,60,35,45,36,53,89,35.96,14.66,4.76,3.08,1.73,-33.17,257.88,17894.01
14,65,50,35,40,49,59,108,33.33,15.62,4.8,3.26,1.63,-52.92,257.73,17886.73
21,65,50,30,50,33,17,50,42.0,19.37,7.17,2.7,1.96,-54.78,257.29,17864.5
14,75,60,35,50,29,44,73,43.84,13.41,5.78,2.32,1.81,-33.11,256.74,17837.05
14,65,60,30,40,68,42,110,38.18,12.59,4.76,2.65,1.64,-40.45,256.67,17833.47
14,65,50,25,40,49,26,75,36.0,18.55,6.02,3.08,1.73,-60.71,255.95,17797.27
14,65,55,30,50,54,38,92,38.04,15.49,5.68,2.73,1.68,-42.49,254.16,17707.9
14,75,50,35,45,28,53,81,38.27,14.33,4.95,2.9,1.8,-37.81,254.07,17703.45
14,70,50,25,45,35,26,61,40.98,16.56,6.11,2.71,1.88,-45.09,252.28,17613.88
14,65,60,25,45,68,26,94,39.36,13.26,5.08,2.61,1.69,-42.98,249.44,17472.19
14,70,60,30,40,36,42,78,37.18,14.82,4.93,3.01,1.78,-33.79,248.29,17414.6
14,75,50,30,40,28,42,70,40.0,14.45,5.18,2.79,1.86,-33.54,244.58,17229.15
14,70,50,30,45,35,39,74,41.89,14.4,5.83,2.47,1.78,-37.86,244.51,17225.48
14,65,60,30,45,68,39,107,40.19,12.16,5.01,2.43,1.63,-42.71,241.74,17086.92
