rsi_period,entry,exit,total_trades,win_rate,avg_win,avg_loss,risk_reward,profit_factor,max_drawdown,total_return,final_capital
14,70,55,35,54.29,20.42,4.42,4.62,5.49,-21.73,1221.1,66055.19
14,65,55,54,40.74,21.15,4.44,4.77,3.28,-39.06,1094.05,59702.7
14,75,55,28,50.0,23.92,3.22,7.43,7.43,-13.51,975.56,53778.05
14,60,55,76,38.16,17.73,4.1,4.32,2.67,-45.72,972.29,53614.38
14,70,45,30,53.33,26.62,6.39,4.17,4.76,-33.33,909.92,50495.87
14,70,50,35,51.43,20.89,5.26,3.97,4.21,-31.45,873.87,48693.64
14,75,45,24,54.17,29.64,5.74,5.16,6.1,-21.52,834.23,46711.71
14,75,50,28,57.14,20.52,4.44,4.62,6.15,-12.78,833.3,46665.15
14,70,40,30,53.33,26.17,7.02,3.73,4.26,-35.84,763.76,43187.77
14,60,50,62,43.55,18.36,5.78,3.18,2.45,-48.0,722.19,41109.39
14,75,40,24,54.17,28.92,6.22,4.65,5.49,-22.78,718.87,40943.53
14,65,50,49,40.82,22.71,5.83,3.9,2.69,-47.75,708.99,40449.3
14,65,45,43,39.53,28.53,6.58,4.34,2.84,-51.26,588.26,34413.24
14,65,40,40,42.5,28.09,7.19,3.91,2.89,-50.9,583.16,34157.9
14,60,45,52,38.46,25.52,5.89,4.34,2.71,-53.55,576.54,33826.85
7,65,50,120,35.83,13.04,3.76,3.47,1.94,-47.99,535.71,31785.43
14,60,40,48,39.58,26.45,6.67,3.97,2.6,-51.99,499.5,29974.8
7,60,50,136,34.56,12.67,3.78,3.35,1.77,-54.51,429.15,26457.59
7,60,55,150,37.33,9.84,3.33,2.96,1.76,-54.32,408.2,25409.81
3,60,45,278,34.53,7.44,2.7,2.76,1.45,-61.74,364.3,23214.84
7,65,55,130,33.85,11.79,3.42,3.45,1.76,-52.75,361.55,23077.31
5,75,55,137,35.04,9.56,2.91,3.29,1.78,-54.42,361.02,23050.76
3,60,40,254,35.43,7.97,2.97,2.68,1.47,-71.63,352.12,22605.81
5,70,55,158,37.97,8.26,3.01,2.75,1.68,-66.33,351.49,22574.38
5,75,45,122,33.61,12.21,3.49,3.5,1.77,-57.81,350.1,22504.87
7,70,50,100,37.0,13.66,4.39,3.11,1.83,-53.72,341.3,22065.1
5,70,40,129,37.21,11.42,4.01,2.85,1.69,-59.91,339.12,21955.89
3,60,50,290,33.1,7.41,2.57,2.89,1.43,-61.76,322.3,21114.91
5,60,40,156,35.9,10.9,3.84,2.84,1.59,-60.54,314.82,20740.91
7,65,45,110,35.45,14.08,4.54,3.1,1.7,-56.48,309.33,20466.33
7,60,45,119,36.97,13.16,4.64,2.84,1.66,-61.94,304.98,20249.07
3,70,45,247,34.82,7.75,2.88,2.69,1.44,-60.57,302.97,20148.46
5,70,45,137,36.5,10.91,3.83,2.85,1.64,-66.03,302.83,20141.4
3,60,55,302,34.44,6.74,2.49,2.7,1.42,-61.24,299.69,19984.42
5,75,50,131,32.06,11.32,3.2,3.54,1.67,-64.17,299.31,19965.26
3,65,45,263,34.22,7.67,2.8,2.74,1.42,-63.62,297.04,19852.08
5,60,55,206,35.44,7.97,2.88,2.77,1.52,-67.84,296.22,19810.95
7,75,50,85,36.47,14.8,4.53,3.27,1.88,-58.12,295.28,19764.13
3,70,50,254,34.25,7.56,2.74,2.76,1.44,-61.98,292.12,19605.8
7,60,40,108,33.33,16.47,4.96,3.32,1.66,-57.92,288.51,19425.31
3,75,40,210,35.71,8.2,3.12,2.63,1.46,-69.27,278.33,18916.69
3,70,55,262,34.73,7.11,2.64,2.69,1.43,-61.01,274.83,18741.7
3,70,40,231,35.06,8.24,3.09,2.67,1.44,-69.59,273.71,18685.36
3,75,45,226,34.96,7.78,2.93,2.66,1.43,-61.3,267.7,18384.87
3,65,50,271,33.58,7.54,2.72,2.78,1.4,-64.54,266.72,18335.78
5,75,40,116,34.48,12.4,3.89,3.18,1.68,-58.63,266.24,18311.85
3,65,40,245,34.69,8.13,3.03,2.68,1.42,-73.01,265.18,18258.95
5,70,50,151,36.42,9.36,3.44,2.72,1.56,-75.29,263.12,18156.2
7,65,40,101,31.68,17.58,4.9,3.58,1.66,-55.74,259.48,17974.07
7,70,55,104,37.5,11.82,4.15,2.85,1.71,-55.78,254.44,17722.15
3,65,55,281,34.52,6.97,2.63,2.65,1.4,-64.06,252.95,17647.42
5,60,45,171,35.09,10.09,3.59,2.81,1.52,-67.65,252.42,17620.97
7,75,55,86,37.21,13.09,4.32,3.03,1.79,-60.74,244.8,17240.07
5,65,55,182,34.07,8.5,2.91,2.92,1.51,-66.23,240.4,17020.22
7,70,45,94,37.23,14.61,5.26,2.78,1.65,-60.47,234.28,16714.13
3,75,55,236,35.59,6.97,2.73,2.55,1.41,-61.43,226.54,16326.9
5,65,45,153,34.64,10.49,3.64,2.88,1.53,-67.34,225.79,16289.71
3,75,50,233,33.91,7.54,2.76,2.73,1.4,-64.28,224.58,16229.19
5,65,40,142,35.21,10.96,3.89,2.82,1.53,-61.38,215.34,15766.78
7,70,40,88,35.23,17.03,5.7,2.99,1.63,-62.65,208.78,15438.9
5,60,50,195,34.87,8.79,3.31,2.65,1.42,-75.52,200.7,15034.76
5,65,50,172,33.14,9.49,3.26,2.91,1.44,-75.28,189.65,14482.57
7,75,45,81,35.8,16.09,5.57,2.89,1.61,-64.22,171.04,13552.0
7,75,40,77,33.77,18.57,5.97,3.11,1.59,-62.3,155.37,12768.3
