sma,ema,rsi_period,exit_rsi,total_trades,win_rate,avg_win,avg_loss,risk_reward,profit_factor,max_drawdown,total_return,final_capital
50,5,5,20,48,50.0,19.22,5.82,3.3,3.3,-40.74,980.59,54029.74
50,7,5,20,48,50.0,19.22,5.82,3.3,3.3,-40.74,980.59,54029.74
50,14,5,20,48,45.83,20.73,5.52,3.75,3.18,-40.74,887.05,49352.4
50,10,5,20,48,45.83,20.73,5.62,3.69,3.12,-40.74,861.43,48071.4
50,14,5,30,62,45.16,15.4,4.57,3.37,2.77,-39.5,700.78,40039.06
50,5,5,30,62,46.77,14.95,4.98,3.0,2.64,-39.5,644.61,37230.61
50,7,5,30,62,46.77,14.95,4.98,3.0,2.64,-39.5,644.61,37230.61
50,10,5,30,62,43.55,15.86,4.58,3.46,2.67,-39.5,639.94,36996.95
100,14,5,20,43,39.53,23.39,5.15,4.54,2.97,-47.27,542.61,32130.66
100,10,5,20,43,39.53,23.39,5.17,4.53,2.96,-46.39,540.29,32014.55
100,7,5,20,45,42.22,21.2,5.51,3.85,2.81,-44.78,512.67,30633.48
100,5,5,20,46,43.48,20.17,5.61,3.59,2.76,-44.78,500.28,30013.79
100,7,3,20,76,39.47,13.96,3.83,3.65,2.38,-36.39,497.36,29867.86
20,5,5,20,61,42.62,18.45,6.11,3.02,2.24,-60.7,466.05,28302.28
20,7,5,20,61,42.62,18.45,6.11,3.02,2.24,-60.7,466.05,28302.28
20,10,5,20,61,42.62,18.45,6.11,3.02,2.24,-60.7,466.05,28302.28
20,14,5,20,62,41.94,18.45,5.95,3.1,2.24,-60.7,463.85,28192.62
100,5,3,20,80,38.75,13.51,3.76,3.59,2.27,-36.81,449.05,27452.57
100,10,3,20,77,36.36,14.79,3.72,3.97,2.27,-34.47,433.29,26664.56
100,14,3,20,74,37.84,14.7,3.97,3.71,2.26,-35.68,421.79,26089.42
100,14,5,30,58,39.66,15.71,4.09,3.84,2.52,-45.13,399.14,24957.15
50,5,5,40,70,41.43,13.12,4.0,3.28,2.32,-37.74,388.52,24426.07
50,7,5,40,70,41.43,13.12,4.0,3.28,2.32,-37.74,388.52,24426.07
50,7,3,20,78,37.18,15.09,4.31,3.5,2.07,-42.86,386.1,24304.97
20,14,5,30,78,39.74,14.22,4.57,3.11,2.05,-55.95,382.5,24124.93
20,7,5,30,75,40.0,14.59,4.72,3.09,2.06,-55.95,379.06,23953.17
20,5,5,30,75,40.0,14.59,4.72,3.09,2.06,-55.95,379.06,23953.17
20,10,5,30,76,39.47,14.59,4.66,3.13,2.04,-55.95,370.2,23510.08
100,7,5,30,61,39.34,15.65,4.31,3.63,2.35,-43.22,364.99,23249.5
100,10,5,30,59,37.29,16.29,3.99,4.09,2.43,-44.89,364.91,23245.43
100,7,3,30,88,39.77,11.13,3.38,3.29,2.17,-26.93,364.34,23216.77
50,5,3,20,80,35.0,15.59,4.15,3.76,2.02,-43.24,359.02,22950.98
100,5,5,30,62,40.32,15.05,4.38,3.43,2.32,-43.22,355.58,22779.18
50,10,3,20,80,35.0,15.49,4.2,3.69,1.99,-41.14,334.35,21717.39
100,7,2,40,127,35.43,8.75,2.59,3.38,1.86,-30.45,331.84,21592.08
50,10,5,40,71,38.03,13.68,3.78,3.62,2.22,-37.74,328.03,21401.68
100,5,3,30,92,39.13,10.83,3.35,3.23,2.08,-26.93,327.3,21365.19
50,14,3,20,79,35.44,15.49,4.32,3.59,1.97,-41.14,324.84,21242.05
100,7,2,50,139,36.69,7.62,2.43,3.14,1.82,-23.11,320.95,21047.43
100,7,3,40,102,39.22,8.86,2.8,3.16,2.04,-25.57,317.84,20892.1
100,7,3,50,113,38.94,7.57,2.3,3.3,2.1,-18.54,315.83,20791.41
100,14,2,20,107,36.45,9.45,2.84,3.33,1.91,-28.38,305.98,20298.99
100,14,2,40,119,34.45,9.2,2.6,3.54,1.86,-28.38,305.77,20288.46
100,14,2,50,131,35.88,7.96,2.43,3.28,1.84,-23.1,305.48,20273.82
50,14,5,40,74,36.49,13.76,3.7,3.72,2.14,-38.53,304.51,20225.38
100,10,2,40,125,33.6,9.11,2.51,3.62,1.83,-27.04,301.64,20081.85
100,5,2,40,133,36.09,8.24,2.62,3.14,1.77,-30.45,291.88,19594.14
100,10,2,50,138,34.78,7.86,2.34,3.36,1.79,-23.11,291.15,19557.57
100,5,3,40,106,39.62,8.45,2.85,2.96,1.94,-25.57,284.52,19225.91
50,7,2,40,127,37.01,8.26,2.75,3.01,1.77,-28.69,283.91,19195.57
100,5,3,50,117,39.32,7.29,2.38,3.07,1.99,-20.36,282.66,19133.23
100,10,2,20,113,35.4,9.35,2.8,3.34,1.83,-27.04,279.02,18951.21
100,5,2,50,146,36.99,7.26,2.47,2.94,1.72,-23.09,278.75,18937.54
50,5,2,40,129,37.21,8.09,2.73,2.96,1.76,-28.69,278.31,18915.39
100,10,3,30,89,35.96,11.85,3.32,3.57,2.0,-29.57,278.14,18906.9
50,7,3,30,89,37.08,12.33,3.79,3.25,1.91,-37.91,277.59,18879.51
100,14,3,30,85,36.47,12.12,3.48,3.48,2.0,-30.86,270.61,18530.72
100,7,2,20,115,37.39,8.96,3.04,2.95,1.76,-30.68,262.94,18147.12
100,14,2,30,113,33.63,9.63,2.69,3.58,1.81,-28.38,262.66,18133.02
100,10,2,30,119,32.77,9.52,2.59,3.68,1.79,-27.04,261.23,18061.67
50,7,2,50,138,35.51,7.8,2.53,3.09,1.7,-22.26,257.68,17884.03
50,5,3,30,91,36.26,12.3,3.75,3.28,1.87,-37.91,256.56,17827.77
50,14,2,40,125,36.0,8.4,2.72,3.08,1.73,-28.69,254.86,17742.75
100,7,5,40,68,38.24,12.88,3.76,3.42,2.12,-44.32,252.5,17624.79
50,5,2,50,141,35.46,7.64,2.5,3.06,1.68,-22.12,249.46,17473.21
50,7,3,40,103,36.89,9.28,2.93,3.17,1.85,-26.79,247.7,17384.82
100,7,2,30,121,34.71,9.11,2.8,3.25,1.73,-30.68,245.91,17295.32
